Suburb,Postcode,State,"Property
Type","Region
(SA4)",Investor Score (Out Of 100),Growth Gap Index,10 Year Growth,Yield Score,Buy Affordability Score,Rent Affordability Score,Latitude,Longitude
Abbotsbury,2176,New South Wales,House,Sydney - South West,81,90,100,45,82,85,-33.8649500136176,150.861912803439
Abbotsford (NSW),2046,New South Wales,Unit,Sydney - Inner West,69,68,100,55,86,75,-33.8504784639813,151.129108528326
Abbotsford (NSW),2046,New South Wales,House,Sydney - Inner West,60,90,100,19,10,10,-33.8504784639813,151.129108528326
Abercrombie,2795,New South Wales,House,Central West,81,90,100,74,100,100,-33.392033969083,149.561710052964
Aberdare,2325,New South Wales,Unit,Hunter Valley exc Newcastle,74,68,100,95,100,72,-32.8392210954735,151.370262399033
Aberdare,2325,New South Wales,House,Hunter Valley exc Newcastle,70,90,100,85,94,43,-32.8392210954735,151.370262399033
Aberdeen (NSW),2336,New South Wales,House,Hunter Valley exc Newcastle,72,90,75,100,100,65,-32.17051902266,150.904395056681
Aberdeen (NSW),2336,New South Wales,Unit,Hunter Valley exc Newcastle,63,68,75,100,100,100,-32.17051902266,150.904395056681
Aberglasslyn,2320,New South Wales,Unit,Hunter Valley exc Newcastle,73,68,100,90,100,100,-32.6936304475349,151.532126769229
Aberglasslyn,2320,New South Wales,House,Hunter Valley exc Newcastle,61,90,100,80,100,78,-32.6936304475349,151.532126769229
Abermain,2326,New South Wales,Unit,Hunter Valley exc Newcastle,81,68,100,99,100,100,-32.8231257990297,151.435702300836
Abermain,2326,New South Wales,House,Hunter Valley exc Newcastle,73,90,100,82,100,68,-32.8231257990297,151.435702300836
Abernethy,2325,New South Wales,House,Hunter Valley exc Newcastle,65,90,100,58,100,100,-32.8859264891159,151.402371748509
Acacia Gardens,2763,New South Wales,Unit,Sydney - Blacktown,68,68,100,70,100,100,-33.7342083840035,150.913998192414
Acacia Gardens,2763,New South Wales,House,Sydney - Blacktown,66,90,100,47,95,89,-33.7342083840035,150.913998192414
Adaminaby,2629,New South Wales,House,Capital Region,71,90,100,100,91,10,-36.0073656339813,148.813785357642
Adamstown,2289,New South Wales,Unit,Newcastle and Lake Macquarie,74,68,100,85,100,100,-32.9393518175996,151.725863257881
Adamstown,2289,New South Wales,House,Newcastle and Lake Macquarie,60,90,100,54,83,34,-32.9393518175996,151.725863257881
Adamstown Heights,2289,New South Wales,Unit,Newcastle and Lake Macquarie,79,68,100,91,100,100,-32.9486989370757,151.710710663701
Adamstown Heights,2289,New South Wales,House,Newcastle and Lake Macquarie,65,90,100,57,92,56,-32.9486989370757,151.710710663701
Adelong,2729,New South Wales,House,Riverina,92,90,100,100,100,94,-35.3069010848237,148.073537566486
Agnes Banks,2753,New South Wales,House,Sydney - Outer West and Blue Mountains,75,90,100,25,57,85,-33.6160536502119,150.70830335466
Airds,2560,New South Wales,House,Sydney - Outer South West,57,90,100,72,61,10,-34.0858996401649,150.833113245561
Airds,2560,New South Wales,Unit,Sydney - Outer South West,52,68,100,68,75,10,-34.0858996401649,150.833113245561
Akolele,2546,New South Wales,House,Capital Region,59,90,100,63,33,10,-36.3495699891674,150.07881142276
Albion Park,2527,New South Wales,Unit,Illawarra,70,68,100,83,100,88,-34.5825503170281,150.776066361104
Albion Park,2527,New South Wales,House,Illawarra,70,90,100,77,98,72,-34.5825503170281,150.776066361104
Albion Park Rail,2527,New South Wales,Unit,Illawarra,79,68,100,91,98,45,-34.5616362845337,150.790684201073
Albion Park Rail,2527,New South Wales,House,Illawarra,68,90,100,72,83,10,-34.5616362845337,150.790684201073
Albury,2640,New South Wales,Unit,Murray,75,68,100,83,100,100,-36.073177782092,146.913140890375
Albury,2640,New South Wales,House,Murray,71,90,100,71,99,85,-36.073177782092,146.913140890375
Aldavilla,2440,New South Wales,House,Mid North Coast,82,90,100,100,100,59,-31.0726260675435,152.769595980855
Alectown,2870,New South Wales,House,Central West,77,90,100,100,100,100,-32.9133679750622,148.261748393295
Alexandria,2015,New South Wales,Unit,Sydney - City and Inner South,78,68,96,86,100,98,-33.9080923356405,151.192045820152
Alexandria,2015,New South Wales,House,Sydney - City and Inner South,65,90,96,38,54,10,-33.9080923356405,151.192045820152
Alfords Point,2234,New South Wales,House,Sydney - Sutherland,68,90,100,56,76,10,-33.9878237667319,151.023509048202
Alison (Dungog - NSW),2420,New South Wales,House,Hunter Valley exc Newcastle,68,90,100,65,84,47,-32.433937214883,151.773443518126
Allambie Heights,2100,New South Wales,Unit,Sydney - Northern Beaches,82,68,100,65,100,100,-33.770182007868,151.248559938789
Allambie Heights,2100,New South Wales,House,Sydney - Northern Beaches,60,90,100,37,49,10,-33.770182007868,151.248559938789
Allawah,2218,New South Wales,Unit,Sydney - Inner South West,79,68,100,84,100,64,-33.9729200735522,151.113809614812
Allawah,2218,New South Wales,House,Sydney - Inner South West,68,90,100,30,27,10,-33.9729200735522,151.113809614812
Allgomera,2441,New South Wales,House,Mid North Coast,60,90,100,55,54,10,-30.8186729457892,152.810202093687
Allworth,2425,New South Wales,House,Mid North Coast,82,90,100,79,91,41,-32.5443910200018,151.945546313215
Alpine,2575,New South Wales,House,Southern Highlands and Shoalhaven,72,100,100,66,100,100,-34.4105876852238,150.532415996842
Alstonvale,2477,New South Wales,House,Richmond - Tweed,64,90,100,69,92,63,-28.7953425725364,153.443804516342
